Hence 因此 adv.
restoring 修复，归还 v.
interior 内部n.内部的.adj
trailer 拖车n.
gauge 评估n.测量v.
regional 区域性、地区的、方言的adj.
diesel 柴油机
soon after 不久之后,稍后
ascent 上升n.
remain 保持v.剩余物n.
remaining 剩下的
intechange point 交换点
algorithm 算法
graph 图表n.
node 节点n.
weighted 有利的adj.(加权平均值)
accumulate 积累v.
present 目前的adj.礼物n.提出v.
concise 简洁的
implementation 实施,成就n.
compute 计算v.
specify 指定，详述v.
resize 调整大小v.
border 边界n.
sharp 锋利的
radius 半径
diagram 图表n.
reference 参考n.应用v.
exist 存在v.
existing 现有的
handy 方便的
cursor 光标
hover 盘旋,悬停v.

2018/5/21
